sno,count,RMSE,MAE,R2
500112037,8715,0.278065051,0.03373986,0.999252457
500119084,8713,0.27804649,0.030871716,0.9966477
500112102,8712,0.277460961,0.030206038,0.996451143
500104098,8691,0.277128239,0.027536417,0.997384248
500108103,8674,0.276851031,0.02299675,0.997348265
500106069,8749,0.276470452,0.032887597,0.998497046
500113017,8665,0.276258543,0.026881304,0.998820829
500101126,8787,0.276059354,0.03468001,0.998293848
500105005,8806,0.276047258,0.035304387,0.996389219
500112059,8739,0.275364813,0.032390801,0.997744179
500107083,8689,0.275355525,0.029900737,0.998036295
500110093,8600,0.275113584,0.012267984,0.997355626
500111048,8633,0.275106825,0.020663172,0.998624076
500108128,8745,0.275085452,0.030843415,0.99816264
500107167,8704,0.274230236,0.02749506,0.999022843
500106007,8723,0.274043476,0.028950143,0.99857491
500111009,8618,0.274008762,0.019028661,0.999181059
500106001,8617,0.273711632,0.019888882,0.996223911
500107070,8718,0.273267484,0.029388943,0.994978679
500119056,8757,0.273202717,0.030118694,0.987338104
500107111,8681,0.273158213,0.022632857,0.999117413
500107011,8677,0.272998537,0.024611002,0.99836409
500101014,8808,0.272900015,0.037071948,0.992782164
500104051,8627,0.272753582,0.015756462,0.997498143
500101237,8689,0.272112752,0.025711244,0.995743773
500106120,8710,0.272056928,0.028214485,0.998863161
500101005,8812,0.271852312,0.036240876,0.996248949
500103068,8650,0.271846307,0.024575453,0.99621598
500110043,8806,0.271837488,0.036624695,0.995890936
